,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
0,0.0,4.0,8.0,0,,,,9,1
1,0.0,4.0,8.0,1,,,,9,1
2,0.0,4.0,8.0,2,,,,9,1
3,0.0,4.0,8.0,3,,,,9,1
4,0.0,4.0,8.0,4,,,,9,1
5,0.0,4.0,8.0,5,,,,9,1
6,0.0,4.0,8.0,6,,,,9,1
7,0.0,4.0,8.0,7,,,,9,1
8,0.0,4.0,8.0,8,,,,9,1
9,0.0,4.0,8.0,9,,,,9,1
10,0.0,4.0,8.0,10,,,,9,1
11,0.0,4.0,8.0,11,,,,9,1
12,0.0,4.0,8.0,12,,,,9,1
13,0.0,4.0,8.0,13,,,,9,1
14,0.0,4.0,8.0,14,,,,9,1
15,0.0,4.0,8.0,15,,,,9,1
16,0.0,4.0,8.0,16,,,,9,1
17,0.0,4.0,8.0,17,,,,9,1
18,0.0,4.0,8.0,18,,,,9,1
19,0.0,4.0,8.0,19,,,,9,1
20,1.0,5.0,9.0,0,,,,9,1
21,1.0,5.0,9.0,1,,,,9,1
22,1.0,5.0,9.0,2,,,,9,1
23,1.0,5.0,9.0,3,,,,9,1
24,1.0,5.0,9.0,4,,,,9,1
25,1.0,5.0,9.0,5,,,,9,1
26,1.0,5.0,9.0,6,,,,9,1
27,1.0,5.0,9.0,7,,,,9,1
28,1.0,5.0,9.0,8,,,,9,1
29,1.0,5.0,9.0,9,,,,9,1
30,1.0,5.0,9.0,10,,,,9,1
31,1.0,5.0,9.0,11,,,,9,1
32,1.0,5.0,9.0,12,,,,9,1
33,1.0,5.0,9.0,13,,,,9,1
34,1.0,5.0,9.0,14,,,,9,1
35,1.0,5.0,9.0,15,,,,9,1
36,1.0,5.0,9.0,16,,,,9,1
37,1.0,5.0,9.0,17,,,,9,1
38,1.0,5.0,9.0,18,,,,9,1
39,1.0,5.0,9.0,19,,,,9,1
40,2.0,6.0,10.0,0,,,,9,1
41,2.0,6.0,10.0,1,,,,9,1
42,2.0,6.0,10.0,2,,,,9,1
43,2.0,6.0,10.0,3,,,,9,1
44,2.0,6.0,10.0,4,,,,9,1
45,2.0,6.0,10.0,5,,,,9,1
46,2.0,6.0,10.0,6,,,,9,1
47,2.0,6.0,10.0,7,,,,9,1
48,2.0,6.0,10.0,8,,,,9,1
49,2.0,6.0,10.0,9,,,,9,1
50,2.0,6.0,10.0,10,,,,9,1
51,2.0,6.0,10.0,11,,,,9,1
52,2.0,6.0,10.0,12,,,,9,1
53,2.0,6.0,10.0,13,,,,9,1
54,2.0,6.0,10.0,14,,,,9,1
55,2.0,6.0,10.0,15,,,,9,1
56,2.0,6.0,10.0,16,,,,9,1
57,2.0,6.0,10.0,17,,,,9,1
58,2.0,6.0,10.0,18,,,,9,1
59,2.0,6.0,10.0,19,,,,9,1
60,3.0,7.0,11.0,0,,,,9,1
61,3.0,7.0,11.0,1,,,,9,1
62,3.0,7.0,11.0,2,,,,9,1
63,3.0,7.0,11.0,3,,,,9,1
64,3.0,7.0,11.0,4,,,,9,1
65,3.0,7.0,11.0,5,,,,9,1
66,3.0,7.0,11.0,6,,,,9,1
67,3.0,7.0,11.0,7,,,,9,1
68,3.0,7.0,11.0,8,,,,9,1
69,3.0,7.0,11.0,9,,,,9,1
70,3.0,7.0,11.0,10,,,,9,1
71,3.0,7.0,11.0,11,,,,9,1
72,3.0,7.0,11.0,12,,,,9,1
73,3.0,7.0,11.0,13,,,,9,1
74,3.0,7.0,11.0,14,,,,9,1
75,3.0,7.0,11.0,15,,,,9,1
76,3.0,7.0,11.0,16,,,,9,1
77,3.0,7.0,11.0,17,,,,9,1
78,3.0,7.0,11.0,18,,,,9,1
79,3.0,7.0,11.0,19,,,,9,1
80,4.0,8.0,12.0,0,,,,9,1
81,4.0,8.0,12.0,1,,,,9,1
82,4.0,8.0,12.0,2,,,,9,1
83,4.0,8.0,12.0,3,,,,9,1
84,4.0,8.0,12.0,4,,,,9,1
85,4.0,8.0,12.0,5,,,,9,1
86,4.0,8.0,12.0,6,,,,9,1
87,4.0,8.0,12.0,7,,,,9,1
88,4.0,8.0,12.0,8,,,,9,1
89,4.0,8.0,12.0,9,,,,9,1
90,4.0,8.0,12.0,10,,,,9,1
91,4.0,8.0,12.0,11,,,,9,1
92,4.0,8.0,12.0,12,,,,9,1
93,4.0,8.0,12.0,13,,,,9,1
94,4.0,8.0,12.0,14,,,,9,1
95,4.0,8.0,12.0,15,,,,9,1
96,4.0,8.0,12.0,16,,,,9,1
97,4.0,8.0,12.0,17,,,,9,1
98,4.0,8.0,12.0,18,,,,9,1
99,4.0,8.0,12.0,19,,,,9,1
100,5.0,9.0,13.0,0,,,,9,1
101,5.0,9.0,13.0,1,,,,9,1
102,5.0,9.0,13.0,2,,,,9,1
103,5.0,9.0,13.0,3,,,,9,1
104,5.0,9.0,13.0,4,,,,9,1
105,5.0,9.0,13.0,5,,,,9,1
106,5.0,9.0,13.0,6,,,,9,1
107,5.0,9.0,13.0,7,,,,9,1
108,5.0,9.0,13.0,8,,,,9,1
109,5.0,9.0,13.0,9,,,,9,1
110,5.0,9.0,13.0,10,,,,9,1
111,5.0,9.0,13.0,11,,,,9,1
112,5.0,9.0,13.0,12,,,,9,1
113,5.0,9.0,13.0,13,,,,9,1
114,5.0,9.0,13.0,14,,,,9,1
115,5.0,9.0,13.0,15,,,,9,1
116,5.0,9.0,13.0,16,,,,9,1
117,5.0,9.0,13.0,17,,,,9,1
118,5.0,9.0,13.0,18,,,,9,1
119,5.0,9.0,13.0,19,,,,9,1
120,6.0,10.0,14.0,0,,,,9,1
121,6.0,10.0,14.0,1,,,,9,1
122,6.0,10.0,14.0,2,,,,9,1
123,6.0,10.0,14.0,3,,,,9,1
124,6.0,10.0,14.0,4,,,,9,1
125,6.0,10.0,14.0,5,,,,9,1
126,6.0,10.0,14.0,6,,,,9,1
127,6.0,10.0,14.0,7,,,,9,1
128,6.0,10.0,14.0,8,,,,9,1
129,6.0,10.0,14.0,9,,,,9,1
130,6.0,10.0,14.0,10,,,,9,1
131,6.0,10.0,14.0,11,,,,9,1
132,6.0,10.0,14.0,12,,,,9,1
133,6.0,10.0,14.0,13,,,,9,1
134,6.0,10.0,14.0,14,,,,9,1
135,6.0,10.0,14.0,15,,,,9,1
136,6.0,10.0,14.0,16,,,,9,1
137,6.0,10.0,14.0,17,,,,9,1
138,6.0,10.0,14.0,18,,,,9,1
139,6.0,10.0,14.0,19,,,,9,1
140,7.0,11.0,15.0,0,,,,9,1
141,7.0,11.0,15.0,1,,,,9,1
142,7.0,11.0,15.0,2,,,,9,1
143,7.0,11.0,15.0,3,,,,9,1
144,7.0,11.0,15.0,4,,,,9,1
145,7.0,11.0,15.0,5,,,,9,1
146,7.0,11.0,15.0,6,,,,9,1
147,7.0,11.0,15.0,7,,,,9,1
148,7.0,11.0,15.0,8,,,,9,1
149,7.0,11.0,15.0,9,,,,9,1
150,7.0,11.0,15.0,10,,,,9,1
151,7.0,11.0,15.0,11,,,,9,1
152,7.0,11.0,15.0,12,,,,9,1
153,7.0,11.0,15.0,13,,,,9,1
154,7.0,11.0,15.0,14,,,,9,1
155,7.0,11.0,15.0,15,,,,9,1
156,7.0,11.0,15.0,16,,,,9,1
157,7.0,11.0,15.0,17,,,,9,1
158,7.0,11.0,15.0,18,,,,9,1
159,7.0,11.0,15.0,19,,,,9,1
160,8.0,12.0,16.0,0,,,,9,1
161,8.0,12.0,16.0,1,,,,9,1
162,8.0,12.0,16.0,2,,,,9,1
163,8.0,12.0,16.0,3,,,,9,1
164,8.0,12.0,16.0,4,,,,9,1
165,8.0,12.0,16.0,5,,,,9,1
166,8.0,12.0,16.0,6,,,,9,1
167,8.0,12.0,16.0,7,,,,9,1
168,8.0,12.0,16.0,8,,,,9,1
169,8.0,12.0,16.0,9,,,,9,1
170,8.0,12.0,16.0,10,,,,9,1
171,8.0,12.0,16.0,11,,,,9,1
172,8.0,12.0,16.0,12,,,,9,1
173,8.0,12.0,16.0,13,,,,9,1
